grouping,group,optimized_threshold,accuracy,precision,recall,f1,auc
continent,Low,0.1844,0.7308,0.4969,0.7804,0.6072,0.8293
continent,Medium,0.1040,0.7563,0.1393,0.7278,0.2338,0.7772
continent,High,0.5704,0.9604,0.9510,0.9710,0.9609,0.9871
